Column1,arrivalA,arrivalB,arrivalC,leaveC,waiting time,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenC0,QlenC1,QlenC2,choice,precheck
712,2048.985575,2053.378663,2441.197194,2444.466884,395.4813097,0,364.2835523,0,4.393088307,23.53497875,3.269690333,0,26,25,25,2,0,0,2,0
304,809.2947152,855.7072406,1103.835402,1213.340997,404.0462818,27.54289186,223.6241117,107.0168647,3.869633533,15.50404981,2.48873014,6,30,0,0,8,0,0,0,1
305,811.7981435,871.0207184,1136.723882,1219.569012,407.7708686,28.48468655,232.8146837,76.61711465,18.73788837,6.888480194,6.228015155,7,29,0,0,7,0,0,0,1
672,1944.60197,1946.673033,2395.384598,2443.14124,498.5392695,0,419.6218349,39.57730262,2.071063055,29.08972957,8.179339402,0,26,27,25,0,0,4,0,0
700,2017.157176,2030.936949,2417.662215,2439.37073,422.2135541,0,353.6264783,14.39992465,13.77977306,33.09878797,7.308590144,0,26,26,23,2,0,2,2,0
308,829.4438989,875.7183776,1161.576421,1246.667932,417.2240333,26.26334164,264.412784,73.28923786,20.01113701,10.44525918,11.80227358,3,30,0,0,8,0,0,0,1
309,829.9134357,871.768992,1140.131162,1234.865659,404.952223,41.10728277,264.9548902,79.43785047,0.748273614,3.407279339,15.29664657,4,30,0,0,8,0,0,0,1
310,831.6909862,892.6467165,1188.037437,1258.849178,427.1581919,40.0780058,278.3965037,62.15755668,0.8777245,2.994216312,8.654184899,5,30,0,0,8,0,0,0,1
666,1914.635256,1926.081616,2429.84548,2436.370727,521.7354708,3.065894859,477.3550991,0,8.380464919,26.40876568,6.525246315,1,26,25,25,3,0,1,1,0
660,1900.068517,1925.672174,2366.294868,2434.9619,534.8933832,0,440.6226942,3.37588317,25.60365679,0,65.29114902,0,25,25,25,0,0,4,0,0
696,2007.113215,2023.268312,2384.563427,2432.06214,424.9489253,0,361.2951155,37.5030935,16.15509712,0,9.995619118,0,26,25,27,0,0,4,2,0
699,2013.585512,2018.748659,2384.563427,2422.066521,408.4810087,0,331.3762233,34.55521199,5.163147082,34.43854475,2.947881508,0,25,26,27,0,0,3,2,0
683,1965.50547,1991.030406,2350.124883,2419.118639,453.6131693,0,321.3019278,65.68908815,25.52493595,37.79254876,3.304668595,0,27,26,26,0,0,5,2,0
679,1958.938765,1986.920878,2312.332334,2415.813971,456.8752062,0.102739389,298.4693387,98.83898736,27.87937451,18.94211676,4.642649545,0,26,25,25,0,0,7,2,0
317,849.7623424,890.7239592,1171.04322,1250.194993,400.4326508,25.95603516,270.8524616,75.62471198,0.005581578,8.466799463,3.527061022,3,30,0,0,8,0,0,0,1
318,851.7685226,906.5315082,1211.109576,1287.593256,435.8247336,38.95543652,296.6773788,49.39888802,14.8075491,7.900689448,27.08479179,4,30,0,0,6,0,0,0,1
319,855.2870385,895.8629788,1203.208887,1260.508464,405.221426,37.35967804,292.1744578,55.64029114,0.216262249,12.17145044,1.659286328,5,30,0,0,7,0,0,0,1
320,865.9524455,928.9661486,1219.149595,1288.49038,422.5379346,29.91053325,282.1434279,68.44366088,24.10316977,8.040018931,0.897123824,5,30,0,0,6,0,0,0,1
661,1901.42712,1919.213442,2403.436715,2415.739444,514.3123231,5.205487589,470.2799176,0,12.5808341,13.94335491,12.30272885,0,25,25,25,1,0,4,1,0
322,867.2370125,955.5109148,1240.611283,1303.029683,435.7926705,39.29449579,278.6642705,54.1922297,40.97940651,6.436097965,8.226170021,6,30,0,0,6,0,0,0,1
682,1963.240149,1965.064413,2285.390217,2411.171321,447.9311722,0,316.9997834,100.0087606,1.824263868,3.326020776,25.77234351,0,27,26,26,0,1,8,2,0
655,1885.03077,1917.701151,2389.49336,2396.779736,511.748966,0,462.8629575,4.411957432,32.67038043,8.929251523,2.874419073,0,25,24,25,0,0,4,1,0
654,1884.800571,1887.463776,2380.564108,2393.905317,509.1047466,0,483.4435652,0,2.663205336,9.656767156,13.34120896,0,25,24,25,0,0,3,1,0
