,arrivalA,arrivalB,arrivalC,leaveC,waiting time,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenB3,QlenC0,QlenC1,QlenC2,QlenC3,choice,precheck
0,0,0.940683898,64.57301105,65.56702481,65.56702481,0,0,0,0.940683898,63.63232715,0.994013765,0,0,0,0,0,0,0,1,1,0,0
1,1.095522135,13.38182408,16.95904425,32.78983459,31.69431246,0,0,0,12.28630194,3.577220175,15.83079034,0,0,0,0,0,0,0,0,0,2,0
2,1.705181297,25.31375177,53.59298629,81.82131626,80.11613496,0,0,12.68883972,23.60857047,28.27923452,15.53949024,0,0,0,0,0,0,1,1,1,2,0
3,4.298969661,30.41724428,39.14316714,43.09767548,38.79870582,0,0,0,26.11827462,8.725922861,3.954508338,0,0,0,0,0,2,0,0,0,1,1
4,4.426456988,5.659834028,17.40861669,34.77017389,30.34371691,0,0,0,1.233377041,11.74878266,17.3615572,0,0,0,0,0,0,0,0,0,1,0
5,4.901279233,31.08793649,92.38256966,96.81869576,91.91741652,0,0,0,26.18665725,61.29463318,4.436126097,0,0,0,0,0,0,0,0,0,1,0
6,7.17749879,17.67940982,22.2896954,42.95013878,35.77263999,0,0,10.73077719,10.50191103,4.610285584,9.929666191,0,0,0,0,0,0,0,0,0,0,1
7,10.48675078,14.89703132,14.89703132,33.02047259,22.53372181,0,0,0,4.410280542,0,18.12344127,0,0,0,0,0,0,0,0,0,0,1
8,10.58776654,24.81360442,32.88035163,48.17599628,37.58822974,4.30926478,0,10.06978715,9.916573099,8.066747208,5.225857497,0,0,0,0,0,1,0,0,0,0,1
9,10.61565584,18.23084029,18.23084029,53.78674961,43.17109377,0,0,14.55899431,7.615184445,0,20.99691502,0,0,0,0,0,0,0,0,0,2,0
10,11.4915751,17.8655905,19.25758353,59.68869797,48.19712286,1.890248974,0,15.51259036,4.483766426,1.391993028,24.91852407,0,0,0,0,0,0,0,1,1,1,0
11,12.28551723,19.1173674,21.23172181,66.28182601,53.99630878,5.58007327,0,32.5550278,1.251776899,2.114354405,12.4950764,1,0,0,0,0,0,1,1,1,2,0
12,15.48705938,53.42104983,62.4842844,85.9563533,70.46929392,2.192350436,2.983379188,16.09514677,35.74164002,6.079855378,7.376922128,0,0,0,0,0,2,1,0,0,0,1
13,15.66446578,24.46925492,30.06578241,66.41727006,50.75280428,2.566374504,0,29.62291555,6.238414638,5.59652749,6.72857209,1,0,0,0,0,0,1,2,2,1,0
14,16.19828779,36.46026806,40.64274188,70.62897623,54.43068845,8.615316629,0,24.47394399,11.64666364,4.182473818,5.512290362,1,0,0,0,0,2,0,0,0,0,1
15,17.89282672,33.06968827,35.85419635,65.11668587,47.22385915,12.52441755,0,12.32179993,2.652443987,2.78450808,16.9406896,1,0,0,0,0,1,0,0,0,0,1
16,20.40868741,87.29676731,96.89060443,168.4695145,148.0608271,12.66100085,1.125915144,57.32345878,54.22707905,8.467921972,14.25545129,2,0,0,0,0,5,0,0,0,0,1
17,21.37742736,48.25289413,101.9546394,107.46413,86.08670264,0,0,0,26.87546677,53.70174531,5.50949056,0,0,0,0,0,0,0,0,0,3,0
18,22.21943072,33.67208284,44.41979254,65.42352443,43.20409371,2.249824207,0,0,9.202827914,10.7477097,21.00373189,0,0,0,0,0,0,1,1,1,3,0
19,23.67845775,50.64186073,107.762208,110.5906725,86.91221478,1.635294019,41.74070893,0,25.32810896,15.37963837,2.828464501,1,0,0,0,0,0,0,0,0,1,0
20,27.23500222,48.58733079,56.40442902,78.57943117,51.34442895,9.225265845,0,14.22454721,12.12706273,7.817098228,7.950454936,2,0,0,0,0,1,0,0,0,0,1
21,31.29290889,52.32874025,67.92772107,87.20342791,55.91051902,0,1.26424604,13.89359519,21.03583136,14.33473478,5.382111655,0,0,0,0,0,0,0,0,0,2,0
22,32.8816819,49.74622602,56.20825718,59.82504704,26.94336515,15.7056489,0,0,1.158895224,6.46203116,3.616789865,2,0,0,0,0,1,0,0,0,1,1
