Column1,arrivalA,arrivalB,arrivalC,leaveC,waiting time,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenC0,QlenC1,QlenC2,choice,precheck
633,1662.222393,1802.805484,2162.46337,2233.665389,571.4429965,88.022233,359.6578859,29.12986644,5.560858577,0,42.07215264,21,20,20,20,2,1,2,0,0
647,1700.936296,2043.017978,2218.98086,2224.954246,524.0179501,295.5384251,163.7591018,3.756757367,27.54325669,12.20378063,2.216628542,46,20,0,0,1,0,0,0,1
653,1714.620124,2032.226652,2206.777079,2222.737617,508.1174932,309.2950915,171.8706704,13.1684635,8.311436254,2.679757025,2.792074493,46,20,0,0,1,0,0,0,1
651,1708.036588,2023.915216,2204.097322,2219.945543,511.9089554,290.7565189,170.8526065,5.849337168,8.122109228,9.3295002,9.998883356,45,20,0,0,1,0,0,0,1
639,1682.962926,1842.833199,2197.25256,2218.37084,535.4079144,115.0660703,339.10541,14.67935993,10.80420344,15.31395084,6.438919922,17,20,20,18,1,0,2,2,0
600,1531.198541,1698.557531,2207.646871,2212.84507,681.6465288,136.1564147,467.1095429,0,31.20257464,41.97979733,5.198199236,20,19,20,18,2,0,1,1,0
649,1706.435108,1837.486431,2181.938609,2211.93192,505.4968125,103.4821454,327.9440308,17.40309418,5.569177745,16.50814769,12.5902166,13,20,20,18,2,0,1,2,0
645,1698.748704,1998.793106,2194.767822,2209.94666,511.1979557,295.0833978,188.8059994,11.56186468,4.961004742,7.168716324,3.616972692,46,20,0,0,1,0,0,0,1
644,1698.446119,1996.474721,2187.599106,2206.329687,507.8835676,292.303888,175.5116872,14.24561278,5.724713651,14.61269773,4.484968221,45,19,0,0,1,0,0,0,1
642,1697.940833,1993.832102,2171.986408,2201.844719,503.9038852,290.8557782,175.0430708,16.64432951,5.035489993,3.11123559,13.213981,43,18,0,0,6,0,0,0,1
632,1660.181113,1809.917253,2165.430462,2199.341703,539.1605901,89.58590468,324.5520412,31.99558639,13.15023501,30.96116737,1.915655476,20,20,20,20,1,0,2,2,0
620,1589.882977,1749.767018,2134.469294,2197.426048,607.5430711,108.674554,381.0288302,46.99283844,19.20948715,3.673446032,15.96391532,21,18,20,19,1,0,2,2,0
637,1681.473537,1798.028996,2162.46337,2191.593237,510.1196994,86.09249818,360.4488483,2.92662183,0.462960324,3.985526181,26.20324461,16,20,20,20,1,1,2,0,0
614,1577.149821,1693.556014,2165.667074,2191.232657,614.082836,111.6350753,466.8081239,15.24072114,4.771117687,5.302935359,10.3248626,22,20,20,20,1,0,3,1,0
643,1698.280869,1990.750007,2168.875173,2188.630738,490.3498684,292.2801313,150.4940894,16.01258088,0.18900665,5.631075911,3.742984227,44,18,0,0,5,0,0,0,1
641,1687.694002,1990.561001,2141.244097,2184.887753,497.1937516,297.4523221,139.7890731,42.72552583,5.414676619,10.89402296,0.91813096,42,17,0,0,6,0,0,0,1
635,1672.040785,1988.796612,2130.350074,2183.969622,511.9288371,283.4057845,133.8302059,45.52950892,33.35004192,7.723256059,8.090039863,40,18,0,0,5,0,0,0,1
618,1586.600789,1742.857898,2130.795848,2181.462133,594.8613437,106.7778281,364.6466401,40.49773044,12.47928127,23.29130975,10.16855403,20,18,20,19,1,1,1,2,0
607,1542.211449,1688.289205,2160.364138,2180.907795,638.6963461,128.2866882,472.0749338,4.45380912,17.79106764,0,16.08984738,22,17,20,19,2,0,2,1,0
640,1685.808907,1985.146324,2122.626818,2175.879583,490.0706759,287.2914362,133.0617391,52.1180656,12.04598105,4.41875458,1.134699377,42,19,0,0,5,0,0,0,1
638,1682.127268,1973.100343,2118.208063,2174.744883,492.6176156,282.6717815,142.7451076,55.11370061,8.30129381,2.362612517,1.423119575,42,19,0,0,4,0,0,0,1
636,1673.319307,1964.799049,2115.845451,2173.321764,500.0024568,290.1676466,140.8861441,56.32895948,1.312095699,10.16025734,1.147353645,41,18,0,0,3,0,0,0,1
631,1654.359052,1963.486953,2105.685193,2172.17441,517.8153583,298.4281239,140.6913249,62.74120096,10.6997778,1.506914869,3.74801586,41,17,0,0,4,0,0,0,1
613,1576.787698,1707.991985,2107.504538,2171.293579,594.5058802,111.5015061,399.5125533,42.68181142,19.70278052,0,21.10722878,21,20,20,19,0,0,1,2,0
634,1665.159023,1955.44657,2104.178278,2168.426394,503.2673708,287.9932103,140.522334,58.34883815,2.294336156,8.209374552,5.899277679,40,18,0,0,3,0,0,0,1
