Column1,arrivalA,arrivalB,arrivalC,leaveC,waiting time,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenC0,QlenC1,QlenC2,choice,precheck
285,581.6926907,693.453419,932.0816532,1060.800452,479.1077611,99.54585252,228.5006296,118.9241592,12.2148758,5.127604619,9.794639293,17,28,0,0,8,0,0,0,1
5146,10370.46097,16969.18608,17489.87014,17512.23446,7141.773497,6597.938464,506.7116214,20.97159314,0.786645695,13.97244403,1.392728455,1094,30,30,30,0,3,0,1,0
5077,10225.07287,16823.97563,17504.43322,17511.79082,7286.717952,6571.308682,655.6169694,0,1.59407476,24.84062711,7.35759832,1072,30,30,30,0,4,0,0,0
5138,10345.13127,16962.52404,17475.8977,17510.84174,7165.71047,6613.60194,509.0575629,31.53767933,3.790832707,4.31609777,3.406357852,1092,30,30,28,0,2,0,1,0
289,590.57442,682.1817482,895.9540486,1035.110548,444.5361284,91.02807948,213.0331097,119.6802929,0.579248741,0.739190696,19.47620695,18,29,0,0,8,0,0,0,1
290,593.9136481,685.6962064,921.9540486,1051.005812,457.0921643,88.26810011,210.2578422,113.1564998,3.514458166,0,15.89526399,19,30,0,0,8,0,0,0,1
5113,10290.69412,16947.03724,17471.5816,17507.43538,7216.741257,6603.467358,485.2023034,34.47704613,25.87576473,39.34205427,1.376730966,1082,30,29,30,0,2,0,1,0
292,601.3506225,715.9322685,975.1372534,1075.465746,474.1151231,84.34558393,250.9379171,89.76754689,24.23606213,7.267067765,10.56094528,17,30,0,0,7,0,0,0,1
5114,10291.02244,16922.99438,17432.23955,17506.05865,7215.03621,6612.245825,500.077859,68.24287891,1.726120159,9.16730587,5.576221497,1083,30,29,30,0,4,0,1,0
294,609.0996936,711.487828,966.8701857,1064.9048,455.8051067,84.35372537,220.5938253,93.93026605,8.034408994,5.788532427,4.104348606,18,30,0,0,8,0,0,0,1
