,arrivalA,arrivalB,arrivalC,leaveC,waiting time,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenC0,QlenC1,QlenC2,choice,precheck
17,45.85382198,53.76190892,72.7310573,94.79674736,48.94292537,0,14.32982396,16.92841709,7.908086943,4.639324413,5.137272971,0,2,0,0,2,0,0,0,1
18,45.96158615,51.079976,89.61188616,108.6253361,62.66374999,0,1.014370476,8.205214604,5.118389845,37.51753968,10.80823538,0,0,0,0,1,0,1,0,0
19,46.07020052,54.27148645,74.90690612,92.65702932,46.58682881,0,0,8.88536022,8.201285929,20.63541968,8.864762981,0,0,0,0,1,0,0,2,0
20,46.25206738,73.36136404,86.89953024,114.7363828,68.48431539,4.827908622,1.545542078,5.757499079,22.28138804,11.99262412,22.07935344,0,1,0,0,1,0,0,2,0
21,46.73593275,54.2914799,116.2585832,117.7813834,71.04545067,7.535553698,35.32040626,0,0.019993456,26.64669708,1.522800183,1,0,0,0,0,0,0,0,0
22,49.62684382,74.68395459,117.3744343,125.0724514,75.44560759,4.664636079,41.57462864,0.406949109,20.39247469,1.115851074,7.291067993,2,1,0,0,0,0,0,0,0
23,52.27911332,72.89936047,146.4571934,148.8340729,96.55495954,20.13140343,42.12908526,0,0.488843719,31.42874763,2.3768795,2,1,1,0,0,0,0,1,0
24,55.57802563,78.38559342,83.90185704,99.80577971,44.22775408,0,0,10.89489032,22.80756779,5.516263625,5.009032354,0,1,0,0,2,0,0,0,1
25,68.87364123,74.87358223,150.9875045,183.1577546,114.2841134,4.025719243,71.58361113,0,1.974221764,4.530311159,32.17025011,1,1,1,0,0,0,0,1,0
26,69.55809747,80.6277834,96.6715768,132.5159124,62.95781496,3.803266577,6.271746847,18.06480597,7.266419353,9.772046553,17.77952966,2,1,1,1,1,0,0,2,0
27,70.60895825,101.4091995,103.9745603,125.3546142,54.74565599,0,0,0,30.8002412,2.565360826,21.38005396,0,0,0,0,0,0,0,0,1
28,74.63483819,110.4465844,218.6917537,221.4559907,146.8211525,0.0491164,70.98090128,0,35.76262978,37.26426805,2.76423702,0,2,1,1,0,1,0,2,0
29,77.39448808,117.80574,119.3482854,128.9288631,51.53437499,0.991105333,0,6.006328876,39.42014656,1.54254539,3.574248838,0,0,0,0,0,0,0,0,1
30,77.49132834,89.8238241,130.842603,138.4685138,60.97718546,0,27.55061021,0,12.33249576,13.46816873,7.625910763,0,2,2,0,0,0,0,0,0
31,77.99095552,140.5811038,151.6168028,166.5580192,88.56706365,23.41824393,0,0,39.17190439,11.035699,14.94121633,1,0,0,0,0,0,0,0,1
32,81.17877643,95.00105546,157.6739216,202.3856185,121.2068421,0,55.98644906,25.48383308,13.82227903,6.68641703,19.22786388,0,2,2,1,0,0,0,1,0
33,83.74619609,127.5890602,130.491148,136.156743,52.41054692,34.05954388,0,0,9.783320223,2.902087783,5.665595039,1,0,0,0,0,0,0,0,1
34,87.46269872,92.06401935,175.5860275,181.0176442,93.55494551,0,38.77858369,0,4.60132063,44.74342448,5.431616712,0,2,2,1,0,1,0,0,0
35,89.11014378,90.10332079,177.2697245,178.5902762,89.48013245,0.713680321,52.65957317,0,0.279496685,34.50683056,1.320551713,0,2,2,1,0,1,0,2,0
36,89.7822279,151.9259082,162.180046,183.2185819,93.43635399,37.8068323,0,4.377973185,24.33684797,10.25413782,16.66056272,2,0,0,0,0,0,0,0,1
37,91.41428284,154.7473341,179.0577668,194.4378574,103.0235746,49.16682101,15.22543159,12.63022972,14.16623028,9.085001049,2.749860922,3,0,0,0,1,0,0,0,1
38,97.18210513,98.46361285,181.4274857,194.3712286,97.18912345,0,78.80611167,0,1.281507721,4.157761136,12.94374292,0,3,3,1,0,2,0,2,0
39,97.19007152,152.9305006,169.9727657,191.6879965,94.49792496,54.73583664,9.249545416,13.24581618,1.004592405,7.792719724,8.469414594,4,0,0,0,0,0,0,0,1
40,99.24249137,180.2395259,208.0892359,210.5935197,111.3510283,53.6880092,13.82627705,0,27.3090253,14.02343295,2.504283823,5,1,0,0,0,0,0,0,1
41,100.9184335,156.5575752,188.9329855,195.9286905,95.01025699,53.82890061,22.50019153,5.504871927,1.810241103,9.875218718,1.490833101,6,2,0,0,1,0,0,0,1
42,115.9155975,122.5210307,203.3609041,287.9578177,172.0422202,0,80.83987335,3.208556232,6.605433187,0,81.38835739,0,4,2,3,0,0,0,0,0
