,arrivalA,arrivalB,arrivalC,leaveC,waiting time,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenC0,QlenC1,QlenC2,choice,precheck
0,0.0,8.029243136,14.6436424199,60.684993058,60.684993058,0.0,0.0,34.2368957503,8.029243136,6.61439928393,11.8044548878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.696336656211,1.60411546107,8.86905450832,11.7479423033,11.0516056471,0.0,0.0,0.0,0.90777880486,7.26493904725,2.87888779501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.896669389528,3.52076565814,3.52076565814,48.8805381703,47.9838687807,0.0,0.0,0.0,2.62409626861,0.0,45.3597725121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4.82187400971,22.5751886134,22.5751886134,52.1196149495,47.2977409398,0.0,0.0,4.79688284843,17.7533146037,0.0,24.7475434877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,10.3787627832,11.7797123351,11.7797123351,42.7254579482,32.346695165,0.0,0.0,0.0,1.40094955193,0.0,30.9457456131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,11.0751192098,14.2769779661,18.4812354237,27.3720714618,16.296952252,0.0,0.0,0.0,3.20185875625,4.20425745762,8.89083603811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,11.7865676299,35.8236574666,42.4392104493,56.2937128551,44.5071452252,0.0,0.0,0.0,24.0370898367,6.61555298273,13.8545024058,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
7,13.9900873297,31.6114574256,41.4847327678,57.2874347386,43.2973474089,0.28689063635,0.0,10.6348821817,17.3344794595,9.87327534219,5.16781978911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,21.6251390598,21.7099135157,88.2124874162,93.5470129223,71.9218738625,0.0,0.0,0.0,0.0847744559139,66.5025739005,5.33452550609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,21.8451765617,42.1868199577,89.5139648419,115.642113266,93.7969367047,0.0,46.0256674585,4.03304808039,20.341643396,1.30147742571,22.0951003441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,30.468628755,30.8955752685,64.075774921,69.5647274874,39.0960987324,0.0,0.0,0.0,0.42694651352,33.1801996524,5.48895256644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
11,30.7997720804,63.4738679843,139.108619634,140.062932802,109.263160722,0.0,42.7834376912,0.0,32.6740959039,32.8513139583,0.954313168682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,38.3943643695,53.6019390429,59.0313566721,62.9219603742,24.5275960047,0.0,0.0,0.0,15.2075746734,5.42941762921,3.89060370207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,39.8236173163,44.5969948375,54.5282811834,68.1627711119,28.3391537957,0.0,0.0,1.76543167162,4.77337752124,9.93128634595,11.8690582569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
14,41.1425153578,45.6379145561,85.0484331084,93.5759575777,52.4334422199,0.0,18.4378603648,0.0,4.49539919839,20.9726581874,8.52752446927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15,43.472314747,60.2398924466,117.324180105,119.120410674,75.6480959265,0.0,24.8085406618,0.0,16.7675776995,32.2757469969,1.79623056825,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,43.5881101644,66.977110887,78.0800354083,83.3087668963,39.7206567319,0.0,6.49103766391,0.0,23.3890007226,4.6118868574,5.22873148802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
