,arrivalA,arrivalB,arrivalC,leaveC,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenC0,QlenC1,QlenC2,choice,precheck
0,0.0,8.029243136,14.6436424199,61.8378537017,0.0,0.0,35.389756394,8.029243136,6.61439928393,11.8044548878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.59162664277,2.49940544763,9.76434449488,12.6432322899,0.0,0.0,0.0,0.90777880486,7.26493904725,2.87888779501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,2.04953003321,4.67362630182,4.67362630182,50.0333988139,0.0,0.0,0.0,2.62409626861,0.0,45.3597725121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,11.0214263079,16.7540164993,20.2572318408,32.1632484347,0.0,0.0,0.0,5.73259019143,3.5032153415,11.9060165939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,19.9824396019,23.2041588328,29.8227293854,33.0063741563,0.0,0.0,2.34051904934,3.2217192309,6.61857055258,0.843125721578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,26.1754296325,38.4451855463,100.21371954,110.282284953,0.0,0.0,0.0,12.2697559138,61.7685339936,10.068565413,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,27.3828616981,61.9573892322,63.7585731934,88.750354011,0.0,0.0,10.5256719664,34.5745275341,1.80118396122,14.4661088511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,36.1858619942,44.795316925,48.1487305764,60.9766245649,0.0,0.0,0.0,8.60945493081,3.35341365137,12.8278939885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,44.8632567363,51.4939302004,89.4672625323,89.5726677968,0.0,0.0,0.0,6.63067346407,37.9733323319,0.105405264525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,44.8980558328,47.4844038133,55.7571900636,74.2842451598,0.0,0.664326763133,5.21943450133,2.58634798047,7.60845948718,13.3076205949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,54.6636901736,96.9523040026,126.055960405,126.452486659,0.0,0.0,0.0,42.2886138289,29.1036564022,0.396526254526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
11,56.1141391403,62.9013929958,75.9575347878,84.7017375987,0.0,0.0,0.0,6.78725385554,13.056141792,8.74420281083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
12,69.5265403565,82.3061557885,95.8667305168,115.300161313,0.0,0.0,19.2080658711,12.779615432,13.5605747282,0.225364925413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
13,77.2025874418,85.8321059453,135.668988831,147.717572259,0.0,3.635156587,0.0,8.62951850345,46.2017262985,12.0485834284,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
