,arrivalA,arrivalB,arrivalC,leaveC,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenC0,QlenC1,QlenC2,choice,precheck
0,0.0,8.029243136,14.6436424199,61.5816624475,0.0,0.0,35.1335651399,8.029243136,6.61439928393,11.8044548878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.39267331242,2.30045211728,9.56539116453,12.4442789595,0.0,0.0,0.0,0.90777880486,7.26493904725,2.87888779501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,1.79333877906,4.41743504766,4.41743504766,49.7772075598,0.0,0.0,0.0,2.62409626861,0.0,45.3597725121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9.64374801942,15.3763382109,18.8795535524,30.7855701462,0.0,0.0,0.0,5.73259019143,3.5032153415,11.9060165939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,17.4846346516,20.7063538825,27.3249244351,31.6286958678,0.0,0.0,3.46064571109,3.2217192309,6.61857055258,0.843125721578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,22.9035009284,35.1732568423,96.9417908359,107.010356249,0.0,0.0,0.0,12.2697559138,61.7685339936,10.068565413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,23.9600039858,58.5345315199,60.3357154812,84.2271212617,0.0,0.0,9.42529692941,34.5745275341,1.80118396122,14.4661088511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,31.6626292449,40.2720841758,43.6254978271,56.4533918156,0.0,0.0,0.0,8.60945493081,3.35341365137,12.8278939885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,39.2553496443,50.3348031149,88.3348064989,88.4135407113,0.0,0.0,0.0,11.0794534706,38.000003384,0.0787342124096,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
9,42.5276644997,45.1140124802,52.7224719673,69.7610124106,0.0,0.0,3.7309198483,2.58634798047,7.60845948718,13.3076205949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,51.0725945479,93.3612083769,131.606080053,132.002606308,0.0,15.2448201613,0.0,42.2886138289,23.0000515152,0.396526254526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,52.3417373937,60.1797911088,60.1797911088,90.5258331973,0.0,0.0,0.0,7.8380537151,0.0,30.3460420884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
12,53.5596820504,68.7672567238,85.0751685313,93.3111803634,0.0,0.0,4.34540813001,15.2075746734,16.3079118075,3.89060370207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,56.4181879439,61.1915654652,71.3111696744,102.394891454,0.0,0.0,19.2146635229,4.77337752124,10.1196042092,11.8690582569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
14,59.0559840269,64.7788832404,67.3566285166,89.4205766613,0.0,0.0,16.8704927451,5.7228992135,2.5777452762,5.19345539962,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
15,62.3538690304,102.19092988,163.970383925,168.304599105,0.0,32.3080420973,0.0,39.8370608498,29.4714119473,4.33421517973,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
16,63.0485327484,131.687696153,212.759380421,215.967936652,0.0,47.5796792259,0.0,68.6391634047,33.4920050416,3.2085562315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,66.1691284641,69.3402466855,136.709676865,143.293520684,0.0,27.6015441504,0.0,3.17111822141,39.767886029,6.58384381964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,69.2351401841,76.9975029721,92.8510157624,96.8918722498,0.0,8.07766555921,0.460164600994,7.76236278795,7.77584723109,3.58069188642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,71.0735586392,74.7685119275,101.014933545,124.474244897,0.0,0.0,1.37995790879,3.69495328832,26.2464216178,22.0793534433,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
