,arrivalA,arrivalB,arrivalC,leaveC,waiting time,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenC0,QlenC1,QlenC2,choice,precheck
0,0,8.029243136,14.64364242,61.09257005,61.09257005,0,0,34.64447275,8.029243136,6.614399284,11.80445489,0,0,0,0,0,0,0,0,0
1,1.012853318,1.920632123,9.18557117,12.06445897,11.05160565,0,0,0,0.907778805,7.264939047,2.878887795,0,0,0,0,0,0,0,0,1
2,1.304246385,3.928342653,3.928342653,49.28811517,47.98386878,0,0,0,2.624096269,0,45.35977251,0,0,0,0,0,0,0,0,0
3,7.013634923,24.76694953,24.76694953,49.51449301,42.50085809,0,0,0,17.7533146,0,24.74754349,0,0,0,0,0,0,0,0,1
4,15.09638223,45.37808584,70.03537448,84.04723806,68.95085583,0,0,0,30.28170361,24.65728864,14.01186358,0,0,0,0,0,0,0,0,0
5,23.80021998,26.74165831,42.47697331,68.26228262,44.46206265,0,0,18.61559675,2.941438336,15.73531499,7.169712571,0,0,0,0,1,0,0,0,0
6,27.65927589,34.64260971,53.9723041,61.3770889,33.71781301,0,0,0,6.983333824,19.32969438,7.404784802,0,0,0,0,0,0,0,0,1
7,33.93827177,42.5477267,61.54755718,74.37545117,40.43717939,0,11.42457739,0,8.609454931,7.575253082,12.82789399,0,0,0,0,0,0,0,0,1
8,39.46025025,39.57374187,55.11827505,63.57968137,24.11943112,0,0,0,0.113491628,15.54453318,8.461406317,0,0,0,0,1,0,0,1,0
9,40.96064533,61.30228872,61.30228872,85.67478171,44.71413639,0,0,2.277392645,20.3416434,0,22.09510034,0,0,0,0,0,0,0,1,0
10,53.50384852,62.644003,81.16265444,88.95647488,35.45262636,0,0,4.512127273,9.140154483,18.51865144,3.281693164,0,0,0,0,1,0,0,1,0
11,55.04767794,62.88573165,70.03537448,114.3932801,59.34560221,0,7.149642823,14.01186358,7.838053715,0,30.34604209,0,0,0,0,0,0,0,0,0
12,55.93345587,71.14103054,87.44894235,91.33954605,35.40609018,0,0,0,15.20757467,16.30791181,3.890603702,0,0,0,0,0,0,0,0,1
13,58.01236925,62.78574677,72.90535098,84.77440923,26.76203999,0,0,0,4.773377521,10.11960421,11.86905826,0,0,0,0,1,0,0,2,0
14,59.9307664,64.4261656,102.1353126,110.6628371,50.7320707,0,16.73648884,0,4.495399198,20.97265819,8.527524469,0,0,0,0,2,0,0,1,0
15,63.31956551,72.00769926,83.3348339,151.3919206,88.07235505,0,0,31.05844624,8.688133748,11.32713465,36.99864041,0,1,0,0,1,1,0,0,0
16,67.69961118,74.64166674,98.64982792,107.6652725,39.96566135,0,12.80727561,0,6.94205556,11.20088557,9.015444613,0,0,0,0,0,0,0,0,1
17,85.62961134,87.31720845,88.22409387,171.0867228,85.45711148,0,0,63.16782669,1.68759711,0.906885422,19.69480226,0,0,0,0,1,0,0,0,0
18,88.12292527,96.48048901,107.236611,113.1146399,24.99171464,0,2.169338914,0.428661557,8.357563735,8.586783056,5.449367377,0,0,0,0,0,0,0,0,1
19,89.08812516,102.7570523,123.0175606,130.3086286,41.22050339,0,0,0,13.66892718,20.26050822,7.291067993,0,0,0,0,2,0,0,1,0
20,91.25816385,131.3808017,196.9781654,217.6719878,126.413824,0,35.45016395,0,40.1226379,30.14719967,20.69382245,0,0,0,0,0,0,0,0,0
21,96.24885558,98.80808187,121.6167205,171.674662,75.42580637,0,0,49.47000231,2.55922629,22.80863864,0.587939133,0,0,0,0,1,0,0,0,0
22,108.5584493,122.9990752,124.4597816,149.522017,40.96356766,0,0,0,14.44062586,1.460706391,25.06223541,0,0,0,0,0,0,0,0,1
23,112.1525941,140.3222307,157.0443002,197.0319776,84.87938353,0,2.747675016,34.84211263,28.16963667,13.97439447,5.145564743,0,0,0,0,3,0,0,0,1
24,114.587899,118.8543814,143.9669509,147.0238787,32.43597962,0,0,0,4.266482355,25.11256952,3.056927747,0,0,0,0,2,0,0,2,0
25,115.3061422,129.6766464,129.6766464,170.902071,55.59592879,7.69293303,0,19.8453706,6.677571195,0,21.38005396,0,0,0,0,0,0,0,0,1
26,118.6000439,133.3001312,139.5400956,171.1962691,52.59622513,11.07660245,0,31.36197535,3.623484796,6.239964413,0.294198112,1,0,0,0,1,0,0,0,1
27,119.397422,123.1246697,142.7673704,156.9302968,37.53287475,0,0,0,3.727247626,19.64270075,14.16292638,0,0,0,0,2,0,0,1,0
28,119.9131305,120.6526304,166.8309657,176.8859491,56.97281863,0,0.964090133,4.843696251,0.739499901,45.21424519,5.211287157,0,0,0,0,1,0,0,0,0
29,120.6906031,132.0339108,192.6607057,192.9424116,72.25180848,0,10.73345964,0,11.34330765,49.8933353,0.28170589,0,1,0,0,0,0,0,1,0
30,123.8924523,134.4564623,139.5400956,186.1374854,62.24503312,9.407678916,5.083633274,31.65617347,1.156331139,0,14.94121633,1,0,0,0,2,0,0,0,1
31,126.5006694,140.1928177,143.0699057,191.8864128,65.38574347,7.95579295,0,43.06757965,5.736355365,2.877088059,5.74892745,2,1,0,0,3,0,0,0,1
32,130.070915,141.3090656,226.1954572,237.0066704,106.9357554,0,55.6690998,0,11.23815053,29.21729184,10.81121323,0,0,0,0,0,0,2,0,0
33,132.7543634,140.8082804,175.4616763,179.7943332,47.03996979,0,3.158670511,0,8.053917007,31.49472534,4.332656927,0,1,1,0,0,0,0,2,0
34,134.2820665,151.5269085,164.3652221,209.3294658,75.04739934,5.910751218,5.51739175,32.66675545,11.33409078,7.320921915,12.29748822,1,0,0,0,4,0,0,0,1
35,137.8037873,155.8694286,219.4908495,222.2432983,84.43951097,0,41.52075437,0,18.06564133,22.10066647,2.752448799,0,1,1,0,0,0,1,1,0
36,137.8767978,141.4064416,197.390183,209.7622098,71.88541201,0,51.25426411,0,3.529643843,4.729477305,12.37202675,0,1,1,0,0,0,0,1,0
37,143.429021,153.9341229,171.3882213,211.8337496,68.40472867,0,10.43109928,37.94124455,10.50510189,7.022999126,2.504283823,0,0,0,0,3,0,0,0,1
38,144.8002464,163.0000445,229.1085355,242.7670289,97.96678257,0,56.49080503,0,18.1997981,9.617685986,13.65849345,0,2,1,0,0,0,3,1,0
39,146.6321644,152.5050379,193.520355,209.9068233,63.27465888,0,22.95663834,0,5.872873526,18.05867875,16.38646826,0,2,1,0,0,0,0,2,0
40,154.4970811,166.5269525,261.2058295,262.4185752,107.9214941,0,86.00821279,0,12.02987139,8.670664158,1.212745794,0,2,1,1,0,0,4,0,0
