,arrivalA,arrivalB,arrivalC,leaveC,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Queue A,Queue B,QlenB1,QlenB2,Queue C,QlenC1,QlenC2,choice,precheck
237,553.4352356,568.17838,838.8417125,843.3065646,0,212.8417914,0,14.74314445,57.82154112,4.464852084,0,13,12,12,0,1,0,0,0
238,554.8327133,634.1649334,819.7427792,858.1851755,78.65729593,173.4550011,27.24614134,0.674924113,12.12284464,11.19625504,11,28,0,0,3,0,0,0,1
239,556.540037,635.6785164,827.3146233,864.9315428,77.62489635,184.0642627,30.87055224,1.513583066,7.571844142,6.746367272,12,29,0,0,3,0,0,0,1
240,557.293706,582.1072479,850.9902415,908.263174,0,268.8829936,12.98181337,24.81354189,0,44.29111906,0,13,13,12,0,1,0,0,0
241,563.4454306,570.0200969,818.7433551,820.4069419,0,226.9330321,0,6.574666342,21.79022604,1.66358679,0,11,13,12,0,0,0,2,0
242,564.6051858,570.3756263,850.9902415,863.9720549,0,268.4660862,0,5.770440535,12.14852904,12.98181337,0,12,13,11,0,1,0,0,0
243,566.3930641,571.1698597,769.8550485,796.8024749,0,182.6251217,15.51859817,4.77679557,16.06006709,11.42882822,0,12,13,11,0,2,0,1,0
244,568.2299197,637.9951415,832.4889847,875.6141466,67.44859679,189.3194818,32.44255814,2.316625052,5.174361378,10.68260379,11,30,0,0,4,0,0,0,1
245,571.4316514,650.8068399,832.4889847,895.1512376,66.56349007,181.6821447,43.12516193,12.81169844,0,19.53709102,12,30,0,0,5,0,0,0,1
246,577.7724058,681.3215728,860.5955779,907.6662079,73.03443416,164.5002497,45.84222379,30.51473291,14.77375531,1.228406221,13,30,0,0,4,0,0,0,1
247,578.7823833,613.9956857,808.6484527,810.0527931,0,168.6342071,0,35.21330242,26.01855992,1.404340443,0,13,13,11,0,0,0,1,0
248,579.2867912,664.5616867,845.8218226,906.4378017,77.02869255,177.6049225,50.15041485,8.24620289,3.655213392,10.46556425,14,29,0,0,5,0,0,0,1
249,579.4202367,583.4908828,842.262566,844.9901843,0,235.2524723,0.334113062,4.07064606,23.51921087,2.39350528,0,13,13,11,0,1,0,2,0
250,579.7896917,581.5303254,818.7433551,842.596679,0,237.2130297,1.66358679,1.740633643,0,22.18973714,0,12,13,11,0,0,0,2,0
251,584.929919,585.0830533,850.9902415,987.5296176,0,265.9071882,57.27293242,0.153134373,0,79.26644365,0,13,13,13,1,1,0,0,0
252,586.0595385,603.05221,848.9198367,854.9971244,0,239.2103559,0,16.99267149,6.657270715,6.077287699,0,14,13,13,0,1,0,2,0
253,586.2250615,707.6184739,879.3481733,927.3585833,78.33662516,163.4103527,38.85051285,43.05678728,8.319346703,9.15989707,13,30,0,0,5,0,0,0,1
254,587.3557942,696.7503715,864.3344423,907.75009,93.96577866,163.8452063,43.33176562,15.4287987,3.738864393,0.083882127,14,28,0,0,5,0,0,0,1
255,588.1580438,699.9556104,871.0288266,918.1986862,108.5923278,164.3788319,36.72126337,3.205238829,6.694384373,10.44859618,15,28,0,0,5,0,0,0,1
256,591.982871,736.1171352,910.9967176,981.9147591,107.9727394,171.4571967,68.88908732,36.16152485,3.422385706,2.028954227,16,28,0,0,6,0,0,0,1
257,595.4563172,719.2025742,879.3481733,946.786754,112.1621567,160.1455991,48.01040992,11.58410028,0,19.42817078,17,28,0,0,6,0,0,0,1
258,595.8744959,728.1142566,893.3504428,961.8374487,123.3280783,151.2339168,53.43631126,8.911682347,14.00226944,15.05069461,18,25,0,0,7,0,0,0,1
259,600.2254473,729.1054346,896.06563,963.6098681,127.8888092,164.2450082,65.77181869,0.991178007,2.715187184,1.772419421,18,24,0,0,6,0,0,0,1
260,601.2602801,602.6328524,782.6298928,800.4275809,0,167.222196,14.17258211,1.372572327,12.77484428,3.625106077,0,14,12,12,1,1,0,1,0
261,602.0067983,616.5871245,878.5500396,996.1231013,0,234.403117,108.979578,14.58032622,27.55979809,8.593483733,0,14,12,12,1,2,0,0,0
262,606.2706846,732.3932365,906.995394,974.3947617,122.8347499,163.6723935,56.61447403,3.287801893,10.92976408,10.7848936,17,25,0,0,6,0,0,0,1
263,607.7904815,734.9418089,907.5743319,979.8858049,124.602755,172.0535852,66.82042979,2.548572411,0.578937834,5.491043232,18,25,0,0,7,0,0,0,1
264,611.3599675,615.3397396,819.2875226,844.8947778,0,193.3087131,0,3.979772138,10.63906995,25.60725517,0,14,13,13,0,0,1,1,0
265,612.8599789,741.2968466,916.437994,1002.660998,122.08183,174.3166089,81.32904512,6.355037731,0.824538507,4.89395889,18,26,0,0,8,0,0,0,1
266,615.9136392,624.2116829,869.4368596,871.1582446,0,224.7081538,0,8.298043672,20.51702296,1.721385011,0,13,13,13,1,2,0,2,0
267,616.8347031,633.4630547,908.7451475,911.1390714,0,235.9738049,0,16.62835165,39.30828789,2.39392393,0,14,13,13,3,3,0,2,0
268,618.0620324,624.4760959,879.5063791,1009.921997,0,254.0739437,116.6167222,6.414063553,0.956339478,13.79889596,0,14,13,13,2,2,0,0,0
269,618.3669826,621.2158988,819.2875226,915.2772614,0,198.0716238,25.60725517,2.848916242,0,70.38248356,0,14,13,13,0,0,1,1,0
270,624.1654037,740.9731264,915.6134555,997.7670391,111.9517315,170.0235911,66.30130365,4.855991225,4.616737895,15.85227998,17,27,0,0,7,0,0,0,1
271,630.2945559,637.8301474,844.0101928,916.3021979,0,181.4573752,71.26706854,7.53559152,24.7226702,1.024936497,0,15,14,14,0,1,0,1,0
272,632.8231,743.0548024,926.0247558,1003.024871,108.1500265,173.3831915,76.6362422,2.081675994,7.586761808,0.363873426,17,27,0,0,8,0,0,0,1
273,634.5493818,637.9799967,858.4927235,918.052327,0,206.0301961,57.80947435,3.43061487,14.48253069,1.750129157,0,15,13,14,2,1,0,1,0
274,637.5260704,744.5439741,929.8768437,1015.038612,103.7707762,181.4807817,73.14802772,3.247127478,1.852087907,12.01374016,15,28,0,0,8,0,0,0,1
275,638.3877111,665.3021376,927.2656406,943.1196136,0,243.4430099,0,26.91442658,18.52049309,15.85397297,0,14,15,14,4,1,0,2,0
276,639.0280554,756.5040202,966.545371,1035.739828,104.026747,196.5947401,62.61214232,13.44921774,4.446610706,6.582314894,15,29,0,0,7,0,0,0,1
277,641.1183787,643.1773491,892.2143124,1018.478933,0,236.3290299,117.7076849,2.058970466,12.70793326,8.556935203,0,14,15,14,3,2,0,0,0
278,641.3973475,745.5873442,953.0987603,1029.157513,103.1466266,184.2894995,61.93985128,1.043370161,6.221916602,14.11890175,16,30,0,0,8,0,0,0,1
279,641.9939935,673.8850681,920.4852557,927.5593997,0,219.5560873,0,31.89107455,27.04410028,7.074143984,0,14,15,14,4,0,0,1,0
280,647.9177459,650.0719744,917.6133964,1021.928541,0,242.142338,100.8655361,2.154228553,25.39908407,3.449608759,0,13,15,14,3,1,0,0,0
281,649.8126419,757.1421212,976.2102527,1036.408016,95.77470237,209.4032498,59.52957548,8.554776916,9.664881736,0.668187449,17,30,0,0,7,0,0,0,1
282,651.0158407,653.6579784,972.64216,1030.628647,0,263.9554181,49.2863813,2.642137697,55.02876353,8.700106208,0,14,14,14,4,0,0,0,0
283,654.9830911,660.6795338,979.3648169,1038.636925,0,311.9626261,51.26383055,5.696442755,6.722656962,8.008277371,0,15,14,14,5,0,0,0,0
284,660.3030522,670.6087896,963.7899771,964.4825647,0,256.656851,0,10.30573738,36.52433652,0.692587626,0,14,14,14,4,0,0,2,0
285,660.4953576,677.2343473,976.4553707,1006.329042,0,286.5556298,0,16.73898966,12.66539358,29.87367174,0,14,14,14,5,0,0,2,0
286,661.9571104,762.5451359,990.5831811,1041.784629,94.54690983,226.6488025,50.564062,6.041115755,1.389242605,0.637386199,16,30,0,0,7,0,0,0,1
287,664.3822897,664.6697047,893.4411554,918.2038286,0,193.8230188,24.61117161,0.287415058,34.9484319,0.151501599,0,15,14,14,4,2,0,1,0
288,666.8305984,760.2947577,989.1939384,1041.147243,90.3115228,215.915495,47.21407723,0.152636573,12.9836857,4.739227383,16,30,0,0,6,0,0,0,1
289,666.9732768,776.6536067,992.088163,1063.391811,93.32148092,213.9295743,49.69646624,2.358849,1.504981965,21.60718203,17,30,0,0,8,0,0,0,1
290,667.8827033,781.4867778,998.088163,1087.250052,94.6624326,210.6013852,65.30364827,6.941641878,0,23.85824044,18,30,0,0,8,0,0,0,1
291,669.2978191,820.2975053,1038.709103,1102.616374,107.3557877,200.331784,63.34551558,31.64389853,9.079813302,0.561755985,19,30,0,0,6,0,0,0,1
292,671.6101547,677.0174419,924.521214,931.3969141,0,243.4678137,3.038185658,5.407287284,4.035958326,3.837514406,0,15,13,14,4,0,0,1,0
293,671.9797495,792.4296914,1005.634897,1091.858268,109.5070283,205.6584717,81.61515436,3.942913537,2.546734355,4.608216409,20,30,0,0,7,0,0,0,1
294,674.7820301,685.5590608,963.0081631,965.9003276,0,238.9621532,0,10.7770307,38.48694911,2.892164453,0,15,14,14,4,0,0,1,0
