,arrivalA,arrivalB,arrivalC,leaveC,waiting time,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenC0,QlenC1,QlenC2,choice,precheck
0,0.0,0.940683897848,64.5730110481,65.5670248135,65.5670248135,0.0,0.0,0.0,0.940683897848,63.6323271503,0.994013765381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.8162386557,14.1025405991,17.6797607742,33.5105511143,31.6943124586,0.0,0.0,0.0,12.2863019434,3.57722017501,15.8307903401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2,2.82697728228,26.435547757,37.2065746162,52.7460648587,49.9190875764,0.0,0.0,0.0,23.6085704747,10.7710268592,15.5394902425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
3,7.12715392256,33.2454285402,34.4942989076,38.4488072458,31.3216533232,0.0,0.0,0.0,26.1182746176,1.24887036745,3.95450833815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,7.3385119619,8.57188900242,20.3206716659,37.6822288673,30.3437169054,0.0,0.0,0.0,1.23337704052,11.7487826635,17.3615572014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,8.12570784747,34.3123650993,76.5891732797,81.0252993766,72.8995915291,0.0,2.89420951689,0.0,26.1866572518,39.3825986635,4.43612609689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
6,11.8993951306,22.4013061557,22.4607039878,32.3903701788,20.4909750481,0.0,0.0,0.0,10.5019110251,0.0593978320962,9.92966619095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,17.385720957,29.7191721957,53.3259547009,81.5749461026,64.1892251457,0.0,18.8148560311,0.0,12.3334512388,4.79192647413,28.2489914017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,23.9065212076,25.0382505135,48.5340282268,50.3355353173,26.4290141097,0.0,0.0,0.0,1.13172930587,23.4957777133,1.80150709049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,28.8019088604,36.2919202733,42.1382701931,58.7130923633,29.911183503,0.0,0.637443889412,1.82282741481,7.49001141299,5.20890603034,14.7519947554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,28.8817524637,29.5212426867,93.9745040856,96.3244526403,67.4427001767,0.0,35.0517683615,0.0,0.639490223015,29.4014930375,2.34994855468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,29.8526492302,33.9232285614,37.5681378479,40.0278710344,10.1752218042,0.0,0.0,0.0,4.07057933115,3.64490928651,2.45973318654,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
12,31.0729622216,34.8855213974,36.9293641628,43.9610976079,12.8881353863,2.17246631856,0.0,1.51944308303,1.64009285721,2.04384276537,5.51229036212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,33.8822957994,45.7010021591,88.9553299934,110.596622308,76.7143265086,0.0,30.8881711206,0.0,11.8187063597,12.3661567136,21.6412923146,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
14,43.3988399314,49.4319118239,113.326250444,119.056713973,75.6578740417,0.0,3.89404287702,0.0,6.03307189249,60.000295743,5.7304635292,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
15,48.5279403562,59.6987595763,119.436351722,144.396921347,95.8689809912,0.0,53.6274908677,0.0,11.1708192201,6.11010127843,24.9605696251,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
16,51.8848269102,90.4429469161,95.7153828515,141.268709139,89.3838822292,0.0,5.27243593546,20.2633511115,38.5581200059,0.0,25.2899751763,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0
17,53.1142353808,64.2989165468,106.163200829,120.491311554,67.3770761736,0.0,29.6755875388,0.0,11.184681166,12.1886967433,14.3281107255,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
18,55.1069787615,55.702080603,61.1836590812,69.1341140173,14.0271352558,0.0,0.0,0.0,0.595101841505,5.48157847818,7.95045493613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,61.8344804078,82.870311765,95.7153828515,115.978733963,54.1442535552,0.0,6.08501822833,14.8812394565,21.0358313572,6.76005285819,5.38211165503,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
20,64.4684673003,118.695546348,131.316507746,131.728494279,67.2600269791,0.0,0.0,0.0,54.2270790478,12.6209613982,0.411986533002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
21,65.7697855162,66.4258632155,71.1614256915,74.8300871928,9.06030167663,0.0,0.0,0.0,0.656077699364,4.73556247596,3.6686615013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,68.0325835662,70.5666589736,86.5047060027,92.5891184432,24.5565348771,0.0,0.0,0.0,2.53407540742,15.9380470291,6.08441244053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
23,68.2638861592,87.0078539952,143.100309644,156.009636043,87.745749884,0.0,19.1553468337,0.0,18.743967836,36.9371088153,12.9093263989,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
24,71.9547592255,92.0001236324,124.841474464,157.199901481,85.2451422553,0.0,27.43622809,19.5554468838,20.0453644069,5.40512274128,12.8029801334,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
25,74.8814602795,78.1970293156,78.1970293156,105.909130931,31.0276706516,0.0,0.0,0.0,3.31556903602,0.0,27.7121016156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,78.3654736476,111.397742912,118.606114578,146.102082318,67.7366086703,4.50483811743,0.0,22.6625945609,28.5274311469,7.20837166649,4.83337317857,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
27,80.6246592984,88.5048284207,96.7531542773,96.9018414786,16.2771821802,0.0,0.0,0.0,7.8801691223,8.2483258566,0.148687201276,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
28,81.9285156242,87.8603118927,92.5749544052,109.910502322,27.9819866983,0.0,0.0,13.3341765259,5.93179626847,4.71464251258,4.00137139126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,82.0643113113,93.3770659926,97.8501139514,112.299212757,30.2349014454,5.79600058136,0.0,12.0603883711,5.51675409994,4.47304795876,2.38871043429,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
30,83.9596093673,116.044545523,186.23198739,189.36551648,105.405907112,3.04824462798,27.0557641217,0.0,29.0366915274,43.1316777454,3.13352909008,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
31,86.0370243591,95.9862906365,108.872889381,116.894498074,30.8574737145,2.4678040616,1.86382331483,3.42632337589,7.48146221579,11.0227754295,4.59528531686,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
32,88.9599261934,97.6447008694,104.342800982,105.301664457,16.3417382637,4.41713979916,0.0,0.0,4.26763487676,6.69810011247,0.958863475359,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0
33,89.3725063966,129.880193997,132.680456768,162.532767514,73.1602611173,6.61378423988,0.0,20.9039411006,33.8939033609,2.80026277022,8.94836964565,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,92.0994348543,99.4462397928,119.427173308,119.720620782,27.6211859277,5.5452660151,9.42664958806,0.0,1.80153892343,10.5542839276,0.293447473532,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35,92.1622662445,100.538044731,105.76281388,110.982969394,18.820703149,7.2839735483,3.80475625129,0.0,1.09180493775,1.42001289777,5.2201555139,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0
36,95.8764680519,106.561025578,106.561025578,130.643507837,34.7670397854,4.66157667864,0.0,4.42194381596,6.022980847,0.0,19.6605384438,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
37,95.9937420554,135.277037619,140.487210066,165.637958053,69.6442159972,10.5672835221,0.0,22.0455574475,28.7160120417,5.21017244716,3.10519053865,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
38,98.527724183,120.220815774,120.220815774,153.584397868,55.0566736853,20.1678221651,0.0,0.0,1.52526942629,0.0,33.3635820939,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,99.8036878345,131.61193845,134.178635321,137.64747444,37.8437866056,20.41712794,0.0,0.0,11.3911226758,2.56669687125,3.46883911857,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
40,104.940095323,137.021020057,146.802975794,155.962984308,51.0228889848,24.9400986744,0.0,0.0,7.1408260595,9.78195573686,9.1600085141,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0
41,110.000895877,114.186595875,133.711795915,154.952346244,44.9514503668,0.0,4.41951870317,12.3902864031,4.1856999982,15.1056813364,8.85026392594,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0
42,110.061564202,113.476805128,143.100309644,169.568842431,59.5072782292,0.0,29.6235045164,12.9093263989,3.41524092634,0.0,13.5592063875,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
43,110.166917074,123.331119477,164.304239257,195.530653567,85.3637364937,1.23082583827,28.4034243985,0.0,11.9333765652,12.5696953814,31.2264143104,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
44,111.603976766,122.008759863,169.446116768,170.124472517,58.5204957504,1.87282836148,11.7030360518,0.0,8.53195473518,35.7343208531,0.678355748846,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
45,114.397608555,155.854584962,157.27394594,195.581818928,81.1842103727,17.2143298951,0.0,33.5839702763,24.242646512,1.41936097757,4.72390271164,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0
46,114.905995268,117.550963886,151.734543876,159.712219443,44.8062241751,0.0,7.29051057743,5.46535760518,2.64496861797,26.893069412,2.51231796254,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
47,123.149704783,128.984508311,211.221151994,214.049722288,90.9000175059,0.0,35.3197309461,0.0,5.83480352836,46.9169127372,2.82857029417,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
48,123.392681363,130.412802983,196.602392596,203.16664234,79.7739609764,0.0,39.0333137849,0.0,7.02012161974,27.156275828,6.56424974381,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0
49,124.119614285,138.579786834,196.602392596,221.571113009,97.4514987233,0.0,58.022605762,6.56424974381,14.4601725485,0.0,18.404470669,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0
50,124.497952627,137.052568994,144.081021017,179.21262883,54.7146762027,10.7790849921,3.43464107216,21.5569370359,1.775531375,3.5938109503,13.5746707772,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
51,131.192013518,147.286413141,154.934608469,190.857916216,59.665902698,5.82900653885,0.0,24.2780203605,10.2653930842,7.64819532813,11.6452873863,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
52,134.977080887,145.863074083,200.998734889,210.030544481,75.0534635934,0.0,40.3689133072,0.0,10.8859931954,14.7667474996,9.03180959126,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
53,140.564176042,149.088008939,149.088008939,183.446726619,42.8825505777,0.0,0.0,6.87497536914,8.52383289721,0.0,27.4837423113,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0
54,142.199902072,149.563078882,228.426601333,234.014148959,91.8142468873,0.0,51.4356560068,0.0,7.36317681037,27.4278664432,5.58754762683,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0
55,150.837112297,156.590413906,156.590413906,202.787624164,51.9505118669,0.0,0.0,26.8563127131,5.75330160957,0.0,19.3408975443,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0
56,152.313274955,157.79682677,157.79682677,218.080512438,65.7672374837,0.0,0.0,37.7849921578,5.48355181538,0.0,22.4986935105,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0
57,161.831958382,184.852507437,245.049866008,274.067649425,112.235691043,0.0,43.5740938957,0.0,23.0205490553,16.6232646753,29.0177834169,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0
58,165.550244383,178.523011209,184.205326906,261.776187952,96.2259435693,0.0,1.72115810357,56.5208804482,12.9727668258,3.96115759343,21.0499805983,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
59,167.270605317,170.295971888,170.295971888,238.64884831,71.378242993,0.0,0.0,47.7845405504,3.02536657092,0.0,20.5683358716,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0
60,168.436200738,169.97893831,235.744164575,237.37119218,68.9349914424,0.0,41.2422136841,0.0,1.54273757233,24.5230125811,1.62702760494,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
61,171.207834066,175.389975912,180.244169312,240.726207354,69.5183732878,0.0,0.0,58.4046789974,4.18214184527,4.85419340093,2.07735904422,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0
