,arrivalA,arrivalB,arrivalC,leaveC,waiting time,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenB3,QlenC0,QlenC1,QlenC2,QlenC3,choice,precheck
0,0.0,0.940683897848,64.5730110481,65.5670248135,65.5670248135,0.0,0.0,0.0,0.940683897848,63.6323271503,0.994013765381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.60676579741,13.8930677409,17.4702879159,33.301078256,31.6943124586,0.0,0.0,0.0,12.2863019434,3.57722017501,15.8307903401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2,2.50093256906,26.1095030438,36.880529903,52.4200201455,49.9190875764,0.0,0.0,0.0,23.6085704747,10.7710268592,15.5394902425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
3,6.30515550349,32.4234301211,34.9346074937,38.8891158318,32.5839603283,0.0,0.0,0.0,26.1182746176,2.51117737256,3.95450833815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,6.49213691563,7.72551395614,19.4742966196,36.835853821,30.3437169054,0.0,0.0,0.0,1.23337704052,11.7487826635,17.3615572014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,7.18854287573,33.3752001276,94.1443339795,98.5804600764,91.3919172007,0.0,31.1978109206,0.0,26.1866572518,29.5713229314,4.43612609689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,10.5269982256,21.0289092507,21.0883070828,31.0179732737,20.4909750481,0.0,0.0,0.0,10.5019110251,0.0593978320962,9.92966619095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,15.3805678066,27.7140190453,27.7140190453,55.9630104471,40.5824426405,0.0,0.0,0.0,12.3334512388,0.0,28.2489914017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
8,21.1493024283,22.2810317342,45.7768094475,47.578316538,26.4290141097,0.0,0.0,0.0,1.13172930587,23.4957777133,1.80150709049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,25.4800887051,36.4213080375,49.5003520022,49.7222635467,24.2421748416,0.0,0.0,0.0,10.9412193323,13.0790439648,0.221911544504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,27.7550831567,29.1133683626,43.1288731054,56.5569365125,28.8018533558,0.0,0.0,12.8341373417,1.35828520592,14.0155047428,0.593926065464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
11,30.0909391832,34.0635229783,42.9601074793,45.4198406659,15.3289014826,2.33249093789,0.0,0.0,1.64009285721,8.89658450101,2.45973318654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
12,31.1705094096,44.8073265058,65.7986698499,77.8482443817,46.677734972,0.0,0.0,0.0,13.6368170961,20.9913433441,12.0495745318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
13,39.7172049896,49.1243520311,56.6701365735,57.739904629,18.0226996393,0.0,0.0,0.0,9.40714704147,7.54578454236,1.06976805551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
14,39.8776544955,63.56471276,66.6679763851,83.0185825145,43.140928019,0.0,0.0,0.0,23.6870582645,3.10326362506,16.3506061294,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
15,42.7334521641,48.6656136764,108.793161949,114.396372949,71.6629207845,0.0,0.0,0.0,5.93216151231,60.1275482726,5.60321099965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,47.0347978839,69.1797737426,85.2159890697,92.127582808,45.0927849241,0.0,8.68431888575,4.90110774078,22.1449758587,7.35189644139,2.01048599747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,49.8611673377,75.1892762959,75.1892762959,96.3192894716,46.4581221338,0.0,0.0,7.82930621862,25.3281089582,0.0,13.300706957,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
18,52.8164579247,53.4115597662,60.551855763,68.5023106992,15.6858527744,0.0,0.0,0.0,0.595101841505,7.14029599682,7.95045493613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,58.7680543812,72.0117948959,80.4311501274,91.7286413291,32.960586948,0.0,0.0,0.0,13.2437405148,8.41935523148,11.2974912017,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
20,58.8892137247,63.7766231217,77.8640926283,90.1170968105,31.2278830858,0.0,0.0,0.0,4.88740939699,14.0874695066,12.2530041822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,65.7134271239,66.3695048233,72.8159744922,76.4846359935,10.7712088696,0.0,0.0,0.0,0.656077699364,6.44646966898,3.6686615013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
22,67.7152491321,81.5771988752,86.3919489195,90.8805826991,23.1653335669,0.0,0.0,2.61336254561,13.8619497431,4.81475004431,1.87527123391,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
23,68.8964878924,70.2463336893,77.7247329567,89.0053114652,20.1088235727,0.283285850167,2.56964080297,0.0,1.06655994669,4.90875846445,11.2805785085,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
24,71.0447000216,84.1297390746,88.5826109818,104.191373618,33.1466735963,0.0,1.08624999516,3.54497182617,13.085039053,3.36662191209,12.06379081,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
25,73.4067432347,75.3814619451,79.8011247637,109.19849695,35.791753715,0.0,0.0,16.5181647078,1.97471871035,4.41966281867,12.8792074781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
26,78.2325558708,78.8596834539,134.991469183,143.990769194,65.758213323,0.0,15.2846505256,0.0,0.627127583077,40.8471352033,8.99930001097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,78.544796946,87.2976057744,121.861253959,128.635475856,50.0906789103,0.0,0.0,0.0,8.75280882844,34.5636481844,6.77422189746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
28,79.5381179267,92.5548503965,95.2366847947,105.205457464,25.667339537,2.03908094851,0.0,8.95468882322,10.9776515213,2.68183439821,1.01408384579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,85.0028944138,108.617049729,116.520105552,121.247257047,36.2443626332,0.0,0.0,0.0,23.6141553156,7.90305582256,4.72715149498,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30,89.5342117537,100.106194342,110.404503826,111.551199445,22.0169876913,3.02063864279,0.0,0.0,7.55134394531,10.2983094838,1.14669561934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,95.9796127649,96.2697788131,96.2697788131,133.032546876,37.0529341113,0.0,0.0,12.9287181366,0.290166048223,0.0,23.8340499264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
32,97.1838032353,104.749785215,106.796262015,112.016417529,14.8326142933,2.92239110649,0.0,0.0,4.64359087356,2.04647679935,5.2201555139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
33,100.469633768,110.340226516,118.298644705,167.555986548,67.0863527802,0.0,0.0,14.7339021713,9.87059274843,7.95841818884,34.5234396716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
34,101.304206277,142.98119211,142.98119211,162.255536355,60.9513300781,0.0,0.0,0.0,41.676985833,0.0,19.274344245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
35,107.562202599,109.777430258,127.353719438,133.73337552,26.1711729212,0.0,0.0,0.0,2.21522765878,17.57628918,6.37965608233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36,109.902520481,128.097917425,142.202822263,144.727300449,34.8247799677,0.0,3.93844531321,0.0,18.1953969437,10.1664595248,2.52447818599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,115.855707716,125.642232363,132.036362738,136.493500316,20.6377926009,0.0,0.0,0.0,9.78652464726,6.39413037527,4.45713757835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,122.547111843,126.969968479,154.881805997,169.049536405,46.5024245612,0.0,0.0,12.6741805512,4.42285663546,27.9118375178,1.49354985675,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
39,122.786256415,135.423883886,176.930197676,177.190411523,54.404155108,0.0,0.0,0.0,12.637627471,41.5063137899,0.260213847058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,123.177931113,123.19131858,140.94755013,141.399421455,18.2214903416,0.0,0.0,0.0,0.0133874669111,17.7562315502,0.451871324439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
41,123.224814922,131.946005755,131.946005755,164.959789831,41.7349749087,0.0,0.0,1.78736976525,8.72119083311,0.0,31.2264143104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42,124.49613373,127.551599318,130.707047452,138.471465884,13.9753321535,1.1460986328,0.0,0.0,1.90936695498,3.15544813456,7.76441843119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
43,125.556491437,147.949278462,156.362687683,174.552683428,48.9961919914,0.0,2.91671258696,11.05361477,22.392787025,5.49669663371,7.13638097575,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
44,129.739437819,132.850071642,150.865991049,167.416302453,37.6768646332,0.0,0.0,14.0937987816,3.11063382241,18.0159194071,2.45651262209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45,130.947110846,142.790000143,150.117592504,151.246325245,20.2992143983,0.0,0.0,0.0,11.8428892966,7.32759236133,1.12873274043,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,135.963612606,143.411503705,221.256611302,226.675680707,90.7120681006,0.0,33.5186939709,0.0,7.44789109842,44.3264136263,5.41906940502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
47,140.644758906,143.326056824,186.637423309,189.591263659,48.9465047528,0.0,0.0,0.0,2.68129791732,43.3113664853,2.95384035015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
48,141.998689362,167.139823717,169.184340344,178.222421826,36.2237324647,0.0,0.0,0.335595802413,25.1411343552,2.04451662713,8.70248567998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
49,142.894900226,148.129315118,191.929852897,205.040172281,62.1452720558,0.0,38.5081081907,0.0,5.23441489265,5.29242958817,13.1103193842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
50,142.937705466,150.226453432,157.87464876,169.519936146,26.5822306807,0.0,0.0,0.0,7.28874796627,7.64819532813,11.6452873863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,146.286228398,157.172221594,191.936521694,200.968331285,54.6821028872,0.0,0.0,0.0,10.8859931954,34.7643001005,9.03180959126,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52,151.228945245,188.368039705,192.385597053,197.251742941,46.0227976965,0.0,0.0,0.0,37.1390944603,4.01755734765,4.8661458885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,153.483074717,159.499281591,162.370073407,175.633850559,22.1507758422,0.0,0.0,6.67946299747,6.01620687451,2.87079181568,6.58431415452,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0
54,155.490869773,182.836694086,200.53469314,216.557219658,61.0663498852,0.0,0.0,0.0,27.3458243134,17.6979990532,16.0225265186,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
55,157.375814076,172.623375532,173.426167056,190.550270496,33.1744564203,9.76400964086,0.0,4.79625476987,5.48355181538,0.802791524273,12.3278486699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,162.637797758,200.021943189,214.435139119,240.658631488,78.0208337307,0.0,6.25522998136,1.36604424764,37.3841454316,8.15796594861,24.8574481215,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
57,169.397036423,201.068454407,201.068454407,223.222674546,53.8256381226,3.22633910922,0.0,0.0,28.4450788751,0.0,22.1542201382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
58,169.465074438,200.709011803,220.424781643,225.985069796,56.5199953578,0.0,0.0,0.0,31.2439373649,19.7157698407,5.56028815223,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0
59,171.845846769,191.618839362,209.495629203,212.012632879,40.1667861105,16.5221929363,0.0,0.0,3.25079965723,17.8767898409,2.5170036761,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
60,176.255712997,195.287828225,197.096054056,200.491314672,24.235601675,15.3631263652,0.0,0.155688885644,3.66898886229,1.80822583098,3.23957173091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
61,179.012215737,183.214134165,275.139330622,287.027204184,108.014988447,0.0,38.0424771366,0.0,4.20191842834,53.8827193197,11.8878735621,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62,179.952791868,202.716401253,226.123215719,233.959645225,54.0068533578,0.0,17.7083803904,0.0,22.7636093855,5.69843407567,7.83642950618,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0
63,182.906041362,206.010633058,217.208169463,240.796795676,57.8907543144,12.381786863,2.89515850761,14.9742744899,10.7228048333,8.30237789788,8.61435172261,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
